Knuckleheads High Scores:
I'm Theo with health = 85, points = 1250, and score = 1335.
I'm Alvin with health = 85, points = 1155, and score = 1240.
I'm Larry with health = 55, points = 1000, and score = 1055.
I'm Kosztolany with health = 130, points = 585, and score = 715.
I'm Jokaimore with health = 100, points = 525, and score = 625.
I'm Klutz with health = 105, points = 400.0, and score = 505.0.
I'm Curly with health = 125, points = 305, and score = 430.
I'm Simon with health = 60, points = 350, and score = 410.
I'm Berserker with health = 60, points = 265, and score = 325.
I'm Theo with health = 85, points = 1250, and score = 1335.
I'm Alvin with health = 85, points = 1155, and score = 1240.
I'm Larry with health = 55, points = 1000, and score = 1055.
I'm Kosztolany with health = 130, points = 585, and score = 715.
I'm Jokaimore with health = 100, points = 525, and score = 625.
I'm Klutz with health = 105, points = 400.0, and score = 505.0.
I'm Curly with health = 125, points = 305, and score = 430.
I'm Simon with health = 60, points = 350, and score = 410.
I'm Berserker with health = 60, points = 265, and score = 325.
I'm Theo with health = 85, points = 1250, and score = 1335.
I'm Alvin with health = 85, points = 1155, and score = 1240.
I'm Larry with health = 55, points = 1000, and score = 1055.
I'm Kosztolany with health = 130, points = 585, and score = 715.
I'm Jokaimore with health = 100, points = 525, and score = 625.
I'm Klutz with health = 105, points = 400.0, and score = 505.0.
I'm Curly with health = 125, points = 305, and score = 430.
I'm Simon with health = 60, points = 350, and score = 410.
I'm Berserker with health = 60, points = 265, and score = 325.
I'm Theo with health = 85, points = 1250, and score = 1335.
I'm Alvin with health = 85, points = 1155, and score = 1240.
I'm Larry with health = 55, points = 1000, and score = 1055.
I'm Kosztolany with health = 130, points = 585, and score = 715.
I'm Jokaimore with health = 100, points = 525, and score = 625.
I'm Klutz with health = 105, points = 400.0, and score = 505.0.
I'm Curly with health = 125, points = 305, and score = 430.
I'm Simon with health = 60, points = 350, and score = 410.
I'm Berserker with health = 60, points = 265, and score = 325.
I'm Theo with health = 85, points = 1250, and score = 1335.
I'm Alvin with health = 85, points = 1155, and score = 1240.
I'm Larry with health = 55, points = 1000, and score = 1055.
I'm Kosztolany with health = 130, points = 585, and score = 715.
I'm Jokaimore with health = 100, points = 525, and score = 625.
I'm Klutz with health = 105, points = 400.0, and score = 505.0.
I'm Curly with health = 125, points = 305, and score = 430.
I'm Simon with health = 60, points = 350, and score = 410.
I'm Berserker with health = 60, points = 265, and score = 325.
I'm Theo with health = 85, points = 1250, and score = 1335.
I'm Alvin with health = 85, points = 1155, and score = 1240.
I'm Larry with health = 55, points = 1000, and score = 1055.
I'm Kosztolany with health = 130, points = 585, and score = 715.
I'm Jokaimore with health = 100, points = 525, and score = 625.
I'm Klutz with health = 105, points = 400.0, and score = 505.0.
I'm Curly with health = 125, points = 305, and score = 430.
I'm Simon with health = 60, points = 350, and score = 410.
I'm Berserker with health = 60, points = 265, and score = 325.
I'm Theo with health = 85, points = 1250, and score = 1335.
I'm Alvin with health = 85, points = 1155, and score = 1240.
I'm Larry with health = 55, points = 1000, and score = 1055.
I'm Kosztolany with health = 130, points = 585, and score = 715.
I'm Jokaimore with health = 100, points = 525, and score = 625.
I'm Klutz with health = 105, points = 400.0, and score = 505.0.
I'm Curly with health = 125, points = 305, and score = 430.
I'm Simon with health = 60, points = 350, and score = 410.
I'm Berserker with health = 60, points = 265, and score = 325.
I'm Theo with health = 85, points = 1250, and score = 1335.
I'm Alvin with health = 85, points = 1155, and score = 1240.
I'm Larry with health = 55, points = 1000, and score = 1055.
I'm Kosztolany with health = 130, points = 585, and score = 715.
I'm Jokaimore with health = 100, points = 525, and score = 625.
I'm Klutz with health = 105, points = 400.0, and score = 505.0.
I'm Curly with health = 125, points = 305, and score = 430.
I'm Simon with health = 60, points = 350, and score = 410.
I'm Berserker with health = 60, points = 265, and score = 325.
I'm Theo with health = 85, points = 1250, and score = 1335.
I'm Alvin with health = 85, points = 1155, and score = 1240.
I'm Larry with health = 55, points = 1000, and score = 1055.
I'm Kosztolany with health = 130, points = 585, and score = 715.
I'm Jokaimore with health = 100, points = 525, and score = 625.
I'm Klutz with health = 105, points = 400.0, and score = 505.0.
I'm Curly with health = 125, points = 305, and score = 430.
I'm Simon with health = 60, points = 350, and score = 410.
I'm Berserker with health = 60, points = 265, and score = 325.
